NAME,MASS,R,A,PER,MULT,DENSITY
Kepler-141 b,0.249949099,0.689999073,0.041677,3.107675,1,
Kepler-141 c,3.051617896,1.410000104,0.0716875,7.010606,1,
Kepler-142 b,4.669361655,1.989997603,0.0313162,2.024152,1,
Kepler-142 c,7.806370518,2.859993851,0.0553921,4.761702,1,
Kepler-144 b,2.507652518,1.330001609,0.0637947,5.885273,1,
Kepler-148 b,4.214693211,1.799994171,0.0281967,1.729366,1,
Kepler-148 c,12.64798878,3.59999955,0.050784,4.180043,1,
Kepler-150 b,2.029792996,1.250003113,0.0444944,3.428054,1,
Kepler-150 c,13.42120481,3.689996457,0.0741975,7.381998,1,
Kepler-155 b,4.933403696,2.08999292,0.0641261,5.931194,1,
Kepler-156 b,5.555783966,2.299993174,0.0570224,4.973456,1,
Kepler-157 b,2.444372053,1.320003198,0.028229,1.732342,1,
Kepler-160 b,3.668143984,1.540001863,0.0518266,4.309427,1,
Kepler-161 b,5.016449176,2.119999362,0.0566234,4.921355,1,
Kepler-161 c,4.825536738,2.049999277,0.0720527,7.06424,1,
Kepler-162 b,2.086002042,1.260001524,0.0710671,6.919798,1,
Kepler-163 b,1.103313079,1.049997907,0.0770446,7.810937,1,
Kepler-164 b,3.051617896,1.410000104,0.0574921,5.03503,1,
Kepler-165 b,5.620427865,2.320001205,0.0794582,8.180848,1,
Kepler-166 b,5.460693236,2.269997942,0.0759843,7.650254,1,
Kepler-167 b,3.349151451,1.449993747,0.0524957,4.393147,1,
Kepler-167 c,2.771166984,1.369995252,0.0743589,7.406097,1,
Kepler-168 b,3.42622198,1.459992158,0.0527522,4.425391,1,
Kepler-169 b,1.430187464,1.129999765,0.0429455,3.250619,1,
Kepler-169 c,1.81470107,1.209998261,0.066017,6.195469,1,
Kepler-169 d,2.029792996,1.250003113,0.0805377,8.348125,1,
Kepler-170 b,9.720516406,3.199995864,0.0778294,7.930592,1,
Kepler-171 b,5.686088777,2.339998026,0.0506781,4.166972,1,
Kepler-172 b,5.719268831,2.349996437,0.0401669,2.940309,1,
Kepler-172 c,7.806370518,2.859993851,0.0673847,6.388996,1,
Kepler-173 b,2.260604132,1.289996756,0.0514597,4.263742,1,
Kepler-173 c,5.994466235,2.429994933,0.0783205,8.005777,1,
Kepler-176 b,3.198220342,1.429996926,0.0604835,5.433074,1,
Kepler-178 b,8.007389525,2.899998704,0.0882572,9.576694,1,
Kepler-179 b,3.870148222,1.63999718,0.0382833,2.735926,1,
Kepler-179 c,4.694945892,1.999996014,0.067463,6.40013,1,
Kepler-181 b,2.143199497,1.269999935,0.0419466,3.137873,1,
Kepler-181 c,4.669361655,1.989997603,0.0517683,4.302149,1,
